,,,,,,,,,,
,,,,,,,,,,
No.,Types of Research ,,Title of the Study,Researchers,Researchers/ Institutions,Year,Remarks,w/ File Copy (Yes/ No),Published (Yes/No),"Copy filed (soft or hard copy), Published online, or online archives"
,Category,Sub-category,,,,,,,,
1,Socio-economic,Education and Awareness,"Community perceptions and knowledge for the protection and conservation of Cuatro Islas, Leyte","Lacerna, Indira Dayang D.","School of Environmental Science and Management, University of the Philippines Los Baños",1997,School requirement,No,Yes,Online archives
2,Biodiversity and Ecosystem ,Coastal and Marine ,"Status of shallow reefs around Apid island, Inopacan, Leyte, Philippines","Benliro, I.M.P., Bothe, C.I.I., Sonder, K., Cesar S.A., Szinicz, G., and Schoppe, S.","State Polytechnic College of Palawan, Puerto Princesa City, Palawan, Philippines;  University of Hohenheim, Stuttgart, Germany; and Department of Plant Protection, Visayas State College of Agriculture, Baybay 6521-A Leyte, Philippine",09/09/1999,-,Yes,Yes,Online archives
3,Biodiversity and Ecosystem ,Coastal and Marine ,"Geomorphology and soils of Apid Island, Inopacan, Leyte, Philippines","Grenz, Jan; Zukunft, Sandra; and Asio, Victor B.","Institute of Tropical Ecology, ViSCA, Baybay 6521-A Leyte, Philippines; Institute of Soil Science, Justus Liebig University of Giessen, Germany; and Martin Luther University of Halle-Wittenberg, Germany",1999,-,Yes,Yes,Online archives
4,Biodiversity and Ecosystem ,Terrestrial,"Flora of Apid Island, Inopacan, Leyte, Philippines","Napiza, Mylene; Eisenberger, Sibyll; Langenberger, Gerhard; Grenz, Jan; and Sauerborn, Joachim","Department of Forestry, Visayas State College of Agriculture, Baybay 6521-A, Leyte, Philippines;  University of Freiburg, Germany;  University of Hohenheim, Stuttgart, Germany; and University of Giessen, Germany ",1999,-,Yes,Yes,Online archives
5,Biodiversity and Ecosystem ,Terrestrial,"The terrestial fauna of Apid Island, Inopacan, Leyte, Philippines","Allgaier, Christoph; Ceniza, Maria Juliet C.; Schaefer, Frank; and Martin, Konrad","Institute of Tropical Ecology, Visayas State College of Agriculture, Baybay 6521-A Leyte, Philippines; and  University of Hohenheim, Stuttgart, Germany",1999,-,Yes,Yes,Online archives
6,Biodiversity and Ecosystem ,Terrestrial,"Agricultural land use system on Apid Island, Inopacan, Leyte, Philippines","Escasinas, Ruth O., and Sauerborn, Joachim","Department of Agronomy and Soil Science, Visayas State College of Agriculture, Baybay 6521-A Leyte, Philippines; and  University of Hohenheim, Stuttgart, Germany",1999,-,Yes,Yes,Online archives
7,,,"Freshwater investigations on Apid Island, Inopacan, Leyte, Philippines: results of lithotelmic investigation","Freitag, Hendrik; Zahn, Erika, and Goeltenboth, Friedhelm","Institute of Zoology, Martin Luther University, Halle-Wittenberg, Germany; and  University of Hohenheim, Stuttgart, Germany",1999,-,Yes,Yes,Online archives
8,Socio-economic,Socio-demographic profile,"Socio-economic conditions of selected residents of Apid, Mahaba and Digyo Islands, Inopacan, Leyte, Philippines","Bulayog, Ma. Salome B.; Dargantes, Buenaventura B.; Cabayag, Antonia D.; Oliva, Ma. Teresa M.; Dagoy, Fe J.; Schaedles, Isabel M.; and Ponce, Elisita R.","Department of Agricultural Economics and Agribusiness, Visayas State College of Agriculture, Baybay 6521-A Leyte, Philippines; Institute of Tropical Ecology, ViSCA, Baybay 6521-A Leyte, Philippines; Baybay National High School, Baybay 6521-A Leyte, Philippines; Environmental Center, Meriam College, Katipunan Avenue, Quezon City Philippines; Center for Social Science Research, ViSCA, Baybay 6521-A Leyte, Philippines;  ViSCA-GTZ, Baybay 6521-A Leyte, Philippines; and University of Hohenheim, Sttutgart, Germany",1999,-,Yes,Yes,Online archives
9,Biodiversity and Ecosystem ,Coastal and Marine ,"Morphological Characterization, Abundance, and Ecology of a Red Shrimp in Mahaba Island, Inopacan, Leyte","Bardos, Jessa M.",Visayas State University (VSU),2013,School requirement,Yes,,Hard Copy
10,Environmental Quality and Resource Management,Carrying capacity and ecosystem evaluation,Ecological Carrying Capacity Study: Establishing Limits on Tourism Activities in Cuatro Islas Protected Landscape and Seascape,"Gatus, Joey L.; Gibeon Consultancy Services (GCS) Consultant",Visayas State University (VSU),2016,Completed,Yes,,Hard Copy
11,Environmental Quality and Resource Management,Carrying capacity and ecosystem evaluation,"Biodiversity Profiling and Carrying Capacity Determination of the Cuatro Islas Protected Landscape and Seascape (CIPLS) in Inopacan and Hindang, Leyte","Dr. Alicia L. Lustica, Marcia Florenda G. Polo, For. Anselmo M. Aurestila, For. Robert Julius Miano, Robert H. Amescua",Visayas State University (VSU); Gesellschaft für Internationale Zusammenarbeit (GIZ),2016,Completed,Yes,,Hard Copy
12,Biodiversity and Ecosystem ,Coastal and Marine ,"Abundance and Diversity of Reef Fishes in the Proposed Mooring Areas of Digyo Island, Inopacan, Leyte","Cabugwason, Jim Clyde B.",Visayas State University (VSU),2017,School requirement,Yes,,Soft Copy
13,Biodiversity and Ecosystem ,Coastal and Marine ,"Phytoplankton Composition and Abundance in Island Waters of Cuatro Islas, Inopacan and Hindang Leyte","Benabaye, Hazelyn",Visayas State University (VSU),2018,School requirement,No,,
